director,entries,name
,1 382 023 ,Camping 3
,,
,1 370 178 ,Spider-Man: Far from Home
,1 369 812 ,Les Petits mouchoirs
,1 360 765 ,Minions 2 : Il était une fois Gru
,1 357 836 ,Incassable
,1 357 109 ,Camping 2
,1 354 401 ,Captain America: Civil War
,1 349 086 ,Les Indestructibles
,1 348 391 ,X-Men 2
,1 346 829 ,Brice de Nice
,1 346 594 ,Pirates des Caraïbes : La Vengeance de Salazar
,1 344 413 ,Wild Wild West
,1 342 183 ,Bean
,1 340 940 ,Dragons 2
,1 338 230 ,Madagascar 2 : la grande évasion
,,
,1 321 648 ,La Planète des singes: les origines
,1 315 020 ,Transformers 3 - La Face cachée de la Lune
,1 314 450 ,Indiana Jones et la Dernière Croisade
,1 312 942 ,Le Roi lion
,1 305 534 ,Inception
,1 303 117 ,Le Placard
,1 302 847 ,Le Livre de la jungle (2016)
,1 301 980 ,Là-haut
,1 301 589 ,Fast & Furious 9
,1 299 065 ,Jurassic World: Le Monde d'après
,1 281 588 ,La Belle et la Bête (2017)
,1 276 905 ,Toy Story 3
,1 271 688 ,"The Dark Knight, Le Chevalier Noir"
,1 270 698 ,Coup de foudre à Notting Hill
,1 265 163 ,Hancock
,,
,1 261 701 ,Nous finirons ensemble
,1 260 348 ,Casino Royale (2006)
,1 260 169 ,Le Monde ne suffit pas
,1 257 650 ,Cinquante nuances plus claires
,1 254 628 ,Captain Marvel
,1 251 205 ,Batman v Superman : L’Aube de la Justice
,1 250 646 ,Dinosaure
,1 250 508 ,American Pie 2
,1 249 001 ,The Amazing Spider-Man : le destin d'un Héros
,1 233 768 ,Mission Impossible 5
,1 232 897 ,Lara Croft: Tomb Raider
,1 232 859 ,L'Age de glace : les lois de l'Univers
,1 231 066 ,Taken 2
,1 231 013 ,Hunger Games – La Révolte : Partie 2
,1 224 811 ,Dragons 3 : Le monde caché
,1 223 166 ,X-Men: Days of Future Past
,1 217 814 ,Armageddon
,1 216 314 ,Iron Man 2
,1 215 124 ,Transformers : l'âge de l'extinction
,1 213 383 ,Arthur et la vengeance de Maltazard
,1 209 900 ,World War Z
,1 202 360 ,Demain ne meurt jamais
,1 202 262 ,Ocean's Twelve
,1 197 707 ,Hannibal
,1 192 842 ,Taken 3
,1 190 062 ,Le Labyrinthe : La Terre brûlée
,1 186 493 ,Deadpool 2
,1 185 945 ,Le Fabuleux destin d'Amélie Poulain
,1 185 144 ,Robin des Bois (2010)
,1 181 208 ,"Pirates des Caraïbes, la malédiction du Black Pearl"
,,
,1 180 383 ,Les Profs 2
,1 179 765 ,Fast & Furious 5
,1 173 587 ,Tous en scène 2
,1 172 398 ,Divergente 2 : l’insurrection
,1 169 669 ,Mission: Impossible - Fallout
,1 167 598 ,L'Arnacoeur
,1 165 588 ,The Batman
,1 164 333 ,La Doublure
,1 159 433 ,Thor : Le Monde des ténèbres
,1 157 996 ,Le Dîner de cons
,1 154 667 ,L'Arme fatale 4
,1 154 169 ,Podium
,1 150 993 ,Disco
,1 150 926 ,Thor: Love And Thunder
,1 150 047 ,Les Visiteurs 3 : La Révolution
,,
